STATION,STATION_NAME,DATE,CLDD,HTDD,DT90,DX32,DT00,DT32,DP01,DP05,DP10,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280201,0,178,0,0,0,1,0,0,0,0,0,0,0,39,-28,39,-28,6
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280301,0,4955,0,4,0,26,5,0,0,91,25,352,153,250,-133,71,-25,23
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280401,6,3505,0,0,0,15,5,1,0,229,0,510,18,233,-61,120,12,66
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280501,91,1253,0,0,0,1,5,1,0,193,0,430,0,317,-6,212,79,146
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280601,325,654,0,0,0,0,9,4,2,650,0,1687,0,306,50,227,117,172
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280701,73,0,0,0,0,0,0,0,0,0,0,0,0,294,150,275,164,220
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19281001,135,1726,0,0,0,5,6,3,0,137,0,677,0,311,-39,169,70,119
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19281101,0,4064,0,1,0,13,7,3,2,328,0,1030,3,200,-72,84,11,48
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19281201,0,5757,0,9,1,25,4,1,1,315,25,662,98,100,-178,27,-45,-9
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19290101,0,8553,0,22,11,31,9,3,0,229,152,986,487,56,-250,-38,-147,-93
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19290201,0,7056,0,19,8,28,2,0,0,41,127,154,156,83,-228,-22,-116,-69
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19290301,0,3698,0,2,0,12,5,2,2,635,0,1199,13,222,-133,108,3,55
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19290401,143,2537,0,0,0,4,8,2,1,290,0,985,0,289,-17,153,53,103
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19290501,375,1796,2,0,0,1,5,3,0,168,0,575,0,333,0,197,77,137
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19290601,497,585,1,0,0,0,6,3,2,711,0,1462,0,322,33,240,121,180
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19290701,48,0,0,0,0,0,0,0,0,15,0,15,0,289,128,264,150,207
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19291001,0,1971,0,0,0,2,6,1,0,163,0,577,0,256,0,151,57,104
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19291101,0,5120,0,6,2,19,2,1,1,257,0,325,0,128,-183,54,-30,12
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19291201,0,6599,0,12,1,28,4,2,0,216,0,519,484,78,-189,4,-63,-30
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19300101,0,8102,0,21,9,30,5,1,0,185,1981,586,385,100,-283,-33,-124,-78
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19300201,0,4533,0,5,1,20,3,1,0,178,51,350,18,189,-189,63,-21,21
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19300301,0,5062,0,5,0,27,4,3,1,495,483,880,612,228,-117,64,-35,14
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19300401,68,2652,2,0,0,9,5,3,0,196,0,630,0,328,-28,156,38,97
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19300501,394,1114,0,0,0,0,5,2,0,208,0,616,0,306,22,218,102,160
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19300601,924,261,4,0,0,0,7,3,0,208,0,821,0,372,72,269,141,205
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19300701,23,69,0,0,0,0,1,0,0,91,0,91,0,283,89,236,107,172
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19301001,136,2321,0,0,0,11,3,1,0,185,0,322,0,300,-67,145,46,96
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19301101,0,4053,0,4,2,15,4,1,1,257,25,414,38,250,-194,100,-4,48
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19301201,0,6430,0,15,0,27,1,0,0,30,25,90,107,106,-156,13,-62,-24
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19310101,0,5938,0,8,0,28,2,0,0,97,25,164,39,111,-167,32,-49,-9
