STATION,STATION_NAME,DATE,CLDD,HTDD,DT90,DX32,DT00,DT32,DP01,DP05,DP10,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,19380401,32,1605,0,0,0,3,8,2,1,267,0,831,0,267,-17,172,51,112
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,19380501,224,1642,0,0,0,0,11,5,3,307,0,1772,0,294,17,185,89,137
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,19380601,656,163,3,0,0,0,6,3,0,251,0,752,0,344,72,257,142,199
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,19380701,1463,0,3,0,0,0,7,3,0,216,0,855,0,350,133,285,176,230
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,19380801,1543,14,8,0,0,0,6,3,0,229,0,878,0,350,106,294,171,232
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,19380901,196,650,0,0,0,0,6,3,1,305,0,824,0,317,44,224,112,168
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,19381001,156,1792,0,0,0,4,2,1,0,168,25,215,49,300,-33,194,66,130
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,19381101,0,5577,0,9,1,21,4,0,0,97,0,329,13,217,-183,40,-46,-3
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,19381201,0,7683,0,17,4,31,4,0,0,48,127,195,231,72,-267,-24,-106,-65
GHCND:USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,19390101,0,7794,0,22,3,31,3,0,0,119,152,270,188,72,-233,-25,-112,-68
